Instances,FH,FC,DY
127FL_5A_1,N435AS : 586 | N553AS : -754,N435AS : 5 | N553AS : 3,N435AS : 0 | N553AS : 0
127FL_5A_2,N435AS : -1142 | N303AS : 129,N435AS : 1 | N303AS : 2,N435AS : 0 | N303AS : 0
127FL_5A_3,N435AS : -374 | N548AS : -1202,N435AS : 0 | N548AS : 1,N435AS : 0 | N548AS : 0
127FL_5A_4,N303AS : -1026 | N548AS : 104,N303AS : 7 | N548AS : 2,N303AS : 0 | N548AS : 0
127FL_5A_5,N556AS : -1250 | N548AS : 3,N556AS : 3 | N548AS : 1,N556AS : 0 | N548AS : 0
127FL_5A_6,N435AS : 192 | N556AS : -767,N435AS : 1 | N556AS : 3,N435AS : 0 | N556AS : 0
127FL_5A_7,N435AS : 182 | N548AS : -768,N435AS : 1 | N548AS : 5,N435AS : 0 | N548AS : 0
127FL_5A_8,N556AS : -689 | N553AS : -433,N556AS : 4 | N553AS : 0,N556AS : 0 | N553AS : 0
127FL_5A_9,N553AS : -787 | N548AS : -122,N553AS : 4 | N548AS : 0,N553AS : 0 | N548AS : 0
127FL_5A_10,N435AS : 221 | N556AS : -837,N435AS : 1 | N556AS : 2,N435AS : 0 | N556AS : 0
136FL_5A_1,N587AS : -155 | N607AS : -270,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_2,N317AS : 477 | N607AS : -90,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_3,N317AS : -353 | N607AS : -782,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
136FL_5A_4,N587AS : 905 | N585AS : -1262,N587AS : 1 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_5,N587AS : 315 | N607AS : -1475,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
136FL_5A_6,N587AS : 208 | N317AS : -242,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_7,N587AS : -1101 | N585AS : -26,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
136FL_5A_8,N587AS : -951 | N317AS : -483,N587AS : 0 | N317AS : 0,N587AS : 0 | N317AS : 0
136FL_5A_9,N587AS : 332 | N284AK : -1033,N587AS : 2 | N284AK : 5,N587AS : 0 | N284AK : 0
136FL_5A_10,N607AS : 79 | N585AS : 8,N607AS : 0 | N585AS : 2,N607AS : 0 | N585AS : 0
181FL_7A_1,N303AS : -221 | N553AS : 91,N303AS : 0 | N553AS : 0,N303AS : 0 | N553AS : 0
181FL_7A_2,N435AS : -337 | N273AK : -411,N435AS : 0 | N273AK : 0,N435AS : 0 | N273AK : 0
181FL_7A_3,N303AS : -716 | N548AS : -327,N303AS : 0 | N548AS : 0,N303AS : 0 | N548AS : 0
181FL_7A_4,N556AS : -926 | N548AS : -166,N556AS : 1 | N548AS : 0,N556AS : 0 | N548AS : 0
181FL_7A_5,N614AS : -160 | N273AK : -1038,N614AS : 0 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_6,N614AS : -333 | N273AK : -344,N614AS : 0 | N273AK : 1,N614AS : 0 | N273AK : 0
181FL_7A_7,N303AS : -56 | N556AS : -343,N303AS : 0 | N556AS : 1,N303AS : 0 | N556AS : 0
181FL_7A_8,N614AS : -104 | N273AK : -639,N614AS : 2 | N273AK : 0,N614AS : 0 | N273AK : 0
181FL_7A_9,N435AS : 159 | N303AS : -455,N435AS : 0 | N303AS : 0,N435AS : 0 | N303AS : 0
181FL_7A_10,N303AS : -340 | N556AS : -522,N303AS : 1 | N556AS : 0,N303AS : 0 | N556AS : 0
196FL_7A_1,N587AS : -235 | N585AS : -606,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_2,N585AS : -1049 | N277AK : 212,N585AS : 0 | N277AK : 0,N585AS : 0 | N277AK : 0
196FL_7A_3,N587AS : -72 | N585AS : -778,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_4,N587AS : -844 | N607AS : -671,N587AS : 0 | N607AS : 0,N587AS : 0 | N607AS : 0
196FL_7A_5,N317AS : -94 | N607AS : -581,N317AS : 0 | N607AS : 0,N317AS : 0 | N607AS : 0
196FL_7A_6,N607AS : 361 | N585AS : -778,N607AS : 0 | N585AS : 0,N607AS : 0 | N585AS : 0
196FL_7A_7,N320AS : 655 | N585AS : -879,N320AS : 0 | N585AS : 0,N320AS : 0 | N585AS : 0
196FL_7A_8,N320AS : -584 | N284AK : -1306,N320AS : 0 | N284AK : 3,N320AS : 0 | N284AK : 0
196FL_7A_9,N587AS : -369 | N585AS : -1288,N587AS : 0 | N585AS : 0,N587AS : 0 | N585AS : 0
196FL_7A_10,N607AS : -719 | N277AK : -947,N607AS : 0 | N277AK : 0,N607AS : 0 | N277AK : 0
